,co2_dining_room,co2_room,relative_humidity_dining_room,relative_humidity_room,lighting_dining_room,lighting_room,wind,sun_light_in_west_facade,sun_light_in_east_facade,sun_light_in_south_facade,sun_irradiance,outdoor_relative_humidity,rain_none,rain_rain,sun_dusk_full,sun_dusk_none,sun_dusk_partial,indoor_temperature_room
2012-03-13 11:45:00,1.2596583114356306,1.7151073403850305,-0.6745221311400427,-0.59118399357917,2.293957119806601,1.6968293954611788,0.36102774358999257,-0.18842520284081182,0.005900357665836633,2.1255547277682165,1.8712787688573234,-0.635709363568109,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,17.8275
2012-03-13 12:00:00,1.8224330694112205,1.4620933107012,-0.6724188846561611,-0.6128984493948404,2.297159132000035,1.6988151638780145,0.5108743401477814,-0.13614711248402503,-0.07679440078621119,2.1255547277682165,1.8821731362865117,-0.6798154337080548,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,18.1207
2012-03-13 12:15:00,1.7320435009616406,1.2297169057892652,-0.6953324220545128,-0.6152784663551908,2.2838432936123967,1.6986983539711416,0.7814841847791111,-0.020796622520804973,-0.12765691107969232,2.1244309103615224,1.896459823206821,-0.7090639035010345,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,18.4367
2012-03-13 12:30:00,1.6007792379558208,0.9229150509125298,-0.6947399582562354,-0.6316570776952369,2.2870872718896247,1.692717686739261,0.7242305801938638,0.1578405987402553,-0.12863541262439182,2.1233041510244437,1.895728749318503,-0.7408016047657574,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,18.7513
2012-03-13 12:45:00,1.4514038298010952,0.7661016028425927,-0.6947843930411065,-0.6355086105181693,2.28559327930658,1.685475472513156,1.2058280489860185,0.46551256410820696,-0.1486519132929637,2.1231452867837066,1.8844756774114018,-0.86135041763326,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,19.0414
2012-03-13 13:00:00,1.5635600038883493,0.754889035053133,-0.6896003348061858,-0.63984638336526,2.276234842620657,1.6986983539711416,0.9369811054906627,0.8644482198336506,-0.17202399158435863,2.1231452867837066,1.850108372194206,-0.8557185314284415,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,19.2773
2012-03-13 13:15:00,1.5246791968714337,0.7253138562461615,-0.6821056677579849,-0.6449646994090243,2.28115746424962,1.6842372875003055,1.0882651445131686,1.366000079681216,-0.18083187083764696,2.1231452867837066,1.8100222927291394,-0.900734726825243,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,19.5367
2012-03-13 13:30:00,1.2764401982249822,0.6387008325971656,-0.6876303926769155,-0.6449646994090243,2.267056860095045,1.6440079555733598,0.8110195591956598,1.8749475605289752,-0.17234985535459343,2.1178439282317094,1.7422442275691836,-0.8841424432964066,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,19.7307
2012-03-13 13:45:00,1.4093660341802459,0.5173125987026125,-0.6676791742699467,-0.6282533975261334,2.2704141467985153,0.9921082187039775,1.3413996666017411,2.2360807585941904,-0.16321565721407286,2.0199953236593235,1.6680538928373914,-0.8658854862208419,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,19.9693
2012-03-13 14:00:00,1.0584418272583507,0.41331196993083563,-0.6704489425268908,-0.6388227201565069,2.2736581250757433,0.9922320372052627,1.4703717056058685,2.574591364396073,-0.15603846216295122,1.883748643714756,1.5938635581055984,-0.8965886006551217,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,20.1407
2012-03-13 14:15:00,0.8156860193450564,0.316298883404668,-0.6643317538096838,-0.6214204456077083,1.4296362478233167,0.9980888859358579,1.6270800558159868,2.833889530621035,-0.14984022377352674,1.7220366143661419,1.4939455717246315,-0.9480301247883597,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,20.3267
2012-03-13 14:30:00,1.0690758941347753,0.38568680291333507,-0.6084327944422752,-0.553858673830018,1.0170257119668202,0.4453747771901933,1.3269348367681084,2.9110685669717875,-0.1423371649521703,1.5355005764371978,1.3820741856463512,-0.9142154710144014,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,20.4713
2012-03-13 14:45:00,1.1700995294607701,1.8139079377182168,-0.5266727902800883,-0.706384491934198,0.6870044290156926,0.27885057395252183,1.3010156698099677,3.019329624065395,-0.12569945287329573,1.3335399975048554,1.2699841606482007,-0.9772785945813395,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,20.9093
2012-03-13 15:00:00,1.2091464937726306,1.351105139683823,-0.484015396804164,-0.777874571275477,0.388709505412359,0.11182876051157287,1.2702779064134981,2.9826694836615655,-0.11428147763914612,1.1008097686860858,1.1390194476455762,-0.9335070149204092,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,21.4253
2012-03-13 15:15:00,0.6968835534600405,1.2869172516137417,-0.38310400036268205,-0.8189874448970149,0.31361959168086684,-0.017005558174564582,0.6374416011920675,2.90099183708458,-0.12830909373715949,0.8710538314855564,0.9996747147922779,-0.9152578366931935,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,21.8467
2012-03-13 15:30:00,0.3512763799763575,1.0113155853685398,-0.1844360772055422,-0.7925513425309724,0.17306258723170453,-0.20184555480986993,0.7814841847791111,2.930146442800314,-0.17398099467375766,0.6341872485468596,0.8520217029838881,-0.8455593554843903,0.23530815625675752,-0.23530815625675758,0.9887561076571603,-0.9313423906644905,-0.17541160386140583,22.1573
